epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.61185,1.92386,4.29917,1.99508,0.05023,0.21007,0.02893,0.00891,2.08677,4.47203,1.93602,0.0001,0.0001,0.0001
2,7.54377,1.56907,3.15422,1.80995,0.60026,0.01316,0.02866,0.01713,2.00617,4.26681,1.98879,0.000211448,0.000211448,0.000211448
3,10.162,1.43772,2.70693,1.70444,0.6274,0.07895,0.05512,0.02172,2.0098,4.50445,1.96411,0.000321783,0.000321783,0.000321783
4,12.7006,1.47378,2.44922,1.63932,0.88711,0.13158,0.14912,0.08339,2.04822,4.64321,1.95518,0.000431003,0.000431003,0.000431003
5,15.2263,1.42394,2.45035,1.70322,0.16002,0.11842,0.08489,0.0491,2.2227,5.22637,2.10223,0.00053911,0.00053911,0.00053911
6,17.7013,1.62905,2.3796,1.72427,0.5621,0.15789,0.05986,0.02783,2.31365,6.2039,2.18474,0.000646103,0.000646103,0.000646103
7,20.1875,1.55106,2.37305,1.67044,0.64231,0.13158,0.09181,0.04051,2.30695,5.52669,2.1671,0.000751982,0.000751982,0.000751982
8,22.6853,1.56765,2.30056,1.68804,0.64867,0.14474,0.10838,0.0428,2.27815,5.24993,2.09234,0.000856748,0.000856748,0.000856748
9,25.1313,1.45857,2.08228,1.69242,0.54577,0.09211,0.02472,0.00777,2.47771,6.49299,2.41196,0.0009604,0.0009604,0.0009604
10,27.5716,1.61452,2.21304,1.7292,0.53409,0.03947,0.02175,0.00822,2.46959,7.8518,2.3896,0.00106294,0.00106294,0.00106294
11,30.0937,1.59746,2.21407,1.71498,0.55969,0.05263,0.02332,0.00742,2.55215,7.03594,2.52231,0.00116436,0.00116436,0.00116436
12,32.5798,1.60377,2.12513,1.68735,0.5672,0.09211,0.04002,0.01204,2.5074,6.81482,2.53929,0.00118194,0.00118194,0.00118194
