epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.90852,3.05146,4.55561,1.81809,0.00443,0.13841,0.00408,0.00118,2.74525,4.42539,1.6111,4.287e-05,4.287e-05,4.287e-05
2,4.37259,2.93492,4.55004,1.75536,0.02569,0.01134,0.00589,0.00187,2.83166,4.00238,1.63387,9.95349e-05,9.95349e-05,9.95349e-05
3,6.01844,2.67706,3.28822,1.56069,0.20415,0.17316,0.08799,0.02903,2.79168,3.10179,1.63979,0.000155634,0.000155634,0.000155634
4,16.3201,2.46869,2.39205,1.44107,0.12846,0.33939,0.11055,0.03689,2.51349,3.09753,1.50112,0.000211167,0.000211167,0.000211167
5,28.6781,2.3402,2.15391,1.38438,0.17555,0.21655,0.11808,0.04275,2.53873,2.8583,1.467,0.000266134,0.000266134,0.000266134
6,30.2735,2.21243,2.16765,1.35248,0.16259,0.30388,0.14157,0.05227,2.40241,2.74171,1.41193,0.000320535,0.000320535,0.000320535
7,31.8009,2.09894,2.02714,1.32387,0.34211,0.2573,0.21732,0.08488,2.2928,2.67483,1.38975,0.000374371,0.000374371,0.000374371
8,33.4342,2.15663,1.98789,1.30333,0.23313,0.35732,0.22759,0.07182,2.2443,2.34682,1.38964,0.00042764,0.00042764,0.00042764
9,35.1148,2.14335,2.03874,1.2733,0.25989,0.38651,0.26082,0.09382,2.24481,2.58025,1.36651,0.000480344,0.000480344,0.000480344
10,36.991,2.12296,1.96116,1.28517,0.28869,0.41479,0.25787,0.10285,2.13419,2.47496,1.34217,0.000532482,0.000532482,0.000532482
11,38.8578,2.08654,1.84968,1.28835,0.47234,0.34303,0.37942,0.14286,2.11299,2.31566,1.35803,0.000584054,0.000584054,0.000584054
12,40.6792,2.09913,1.90911,1.34675,0.19854,0.31936,0.17184,0.05464,2.27532,3.17501,1.43048,0.00063506,0.00063506,0.00063506
13,42.463,2.10728,1.80174,1.31606,0.30059,0.36323,0.29286,0.10105,2.24767,2.41226,1.50756,0.0006855,0.0006855,0.0006855
14,44.1041,2.10837,1.66902,1.35049,0.324,0.40488,0.29968,0.10138,2.25019,2.27205,1.55011,0.000735374,0.000735374,0.000735374
15,45.8015,2.07645,1.74228,1.33242,0.42643,0.34857,0.30792,0.10915,2.3716,2.10126,1.52235,0.000784682,0.000784682,0.000784682
16,47.4998,2.03904,1.80826,1.31639,0.32287,0.3706,0.28113,0.10575,2.25713,2.37804,1.44125,0.000833425,0.000833425,0.000833425
17,49.1274,2.03029,1.61199,1.23121,0.29243,0.44728,0.31091,0.10936,2.17944,2.30915,1.42892,0.000881602,0.000881602,0.000881602
18,50.8442,2.13957,1.75775,1.30094,0.36882,0.34521,0.27474,0.10727,2.226,2.08881,1.4765,0.000929212,0.000929212,0.000929212
19,52.454,2.01544,1.5637,1.24167,0.3149,0.43904,0.28863,0.10899,2.19459,2.09876,1.44032,0.000976257,0.000976257,0.000976257
20,54.0832,2.05911,1.65092,1.31071,0.27784,0.44232,0.26646,0.10284,2.30259,2.10356,1.54529,0.00102274,0.00102274,0.00102274
21,55.6843,2.0827,1.68119,1.34336,0.36283,0.36647,0.29314,0.0967,2.3833,2.24969,1.54504,0.00106865,0.00106865,0.00106865
22,57.2864,1.95265,1.59826,1.27914,0.42287,0.39502,0.34565,0.112,2.34486,2.20885,1.57702,0.001114,0.001114,0.001114
23,58.9157,2.01891,1.65656,1.31396,0.38892,0.47748,0.35148,0.12118,2.32558,1.9823,1.56677,0.00115878,0.00115878,0.00115878
24,60.5186,1.97706,1.55082,1.30464,0.31646,0.45441,0.29596,0.09973,2.4162,2.0163,1.58342,0.00120299,0.00120299,0.00120299
25,62.0952,1.9683,1.5916,1.27511,0.28166,0.49377,0.28471,0.10653,2.42256,2.12284,1.58455,0.00124664,0.00124664,0.00124664
26,63.635,1.9399,1.435,1.27095,0.31176,0.37918,0.28166,0.10254,2.45588,2.06152,1.6213,0.00125216,0.00125216,0.00125216
27,65.241,2.07362,1.41192,1.27876,0.23817,0.39463,0.23162,0.06664,2.57899,2.19108,1.64987,0.00124509,0.00124509,0.00124509
28,66.7603,1.97918,1.47125,1.28396,0.43455,0.29191,0.28837,0.08631,2.55807,2.12134,1.64607,0.00123801,0.00123801,0.00123801
29,68.3929,1.96521,1.34068,1.2592,0.37469,0.36822,0.30398,0.11467,2.40368,2.0689,1.57924,0.00123094,0.00123094,0.00123094
30,69.9749,1.95966,1.3122,1.19395,0.42462,0.28414,0.29419,0.11009,2.39248,2.18356,1.56875,0.00122387,0.00122387,0.00122387
31,71.5134,1.92146,1.46688,1.26624,0.23894,0.50672,0.27549,0.09087,2.37685,2.10693,1.54992,0.00121679,0.00121679,0.00121679
32,73.0652,1.89644,1.40834,1.19746,0.44984,0.4052,0.35422,0.13141,2.33419,1.88127,1.48552,0.00120972,0.00120972,0.00120972
33,74.634,1.8503,1.31528,1.21204,0.46587,0.40769,0.39136,0.13555,2.35895,1.82529,1.49583,0.00120265,0.00120265,0.00120265
34,76.2175,1.91401,1.36877,1.18549,0.42444,0.45031,0.36498,0.13218,2.35402,1.7289,1.50675,0.00119557,0.00119557,0.00119557
35,77.7275,1.88944,1.32579,1.18073,0.42019,0.45088,0.35357,0.12618,2.37401,1.73555,1.56351,0.0011885,0.0011885,0.0011885
36,79.3128,1.82678,1.30363,1.22282,0.39009,0.41989,0.32641,0.11584,2.32994,1.76965,1.52637,0.00118143,0.00118143,0.00118143
