epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.30706,3.05146,4.55561,1.81809,0.00443,0.13841,0.00408,0.00118,2.74525,4.42539,1.6111,4.287e-05,4.287e-05,4.287e-05
2,5.87939,2.93492,4.55004,1.75536,0.0257,0.01134,0.00589,0.00187,2.83247,4.00225,1.6338,9.93698e-05,9.93698e-05,9.93698e-05
3,7.52537,2.67664,3.29309,1.55994,0.21066,0.16889,0.08055,0.02849,2.79578,3.00046,1.63849,0.000155115,0.000155115,0.000155115
4,9.08765,2.45677,2.38492,1.45156,0.19431,0.2311,0.11866,0.03573,2.52088,3.07346,1.50379,0.000210106,0.000210106,0.000210106
5,10.6413,2.31967,2.17265,1.37897,0.17791,0.23163,0.12088,0.03597,2.54877,2.94507,1.49892,0.000264342,0.000264342,0.000264342
6,12.1427,2.1896,2.20085,1.33725,0.19342,0.28227,0.15126,0.04095,2.41183,2.87594,1.45832,0.000317824,0.000317824,0.000317824
7,13.6363,2.09396,2.01866,1.3392,0.18712,0.33605,0.20237,0.06976,2.2832,2.68222,1.44045,0.000370551,0.000370551,0.000370551
8,15.1336,2.12912,2.01482,1.30228,0.26852,0.25319,0.21435,0.07681,2.20784,2.49007,1.40465,0.000422524,0.000422524,0.000422524
9,16.6575,2.15636,1.94332,1.27558,0.32811,0.30137,0.28141,0.09436,2.24616,2.71534,1.36485,0.000473742,0.000473742,0.000473742
10,18.1988,2.1448,1.94024,1.30402,0.32759,0.40881,0.33704,0.13054,2.17613,2.12622,1.38581,0.000524206,0.000524206,0.000524206
11,19.7111,2.11177,1.86431,1.33582,0.25828,0.55876,0.34129,0.13149,2.10864,2.69033,1.36837,0.000573915,0.000573915,0.000573915
12,21.2476,2.11287,1.88878,1.33186,0.22937,0.36903,0.23189,0.06784,2.18627,2.28271,1.35702,0.00062287,0.00062287,0.00062287
13,22.712,2.0856,1.85147,1.26367,0.22785,0.43568,0.28503,0.10494,2.11835,2.71095,1.3362,0.00067107,0.00067107,0.00067107
14,24.1876,2.06737,1.67859,1.26791,0.21902,0.59659,0.27383,0.11082,2.07985,2.96963,1.33813,0.000718515,0.000718515,0.000718515
15,25.705,2.0407,1.69217,1.29351,0.23401,0.4398,0.24178,0.09881,2.18547,2.32002,1.41674,0.000765207,0.000765207,0.000765207
16,27.1936,2.01166,1.80563,1.29936,0.39477,0.29135,0.2919,0.11312,2.24109,2.19779,1.44539,0.000811143,0.000811143,0.000811143
17,28.6974,2.01685,1.63002,1.21449,0.27063,0.47466,0.28667,0.10804,2.28822,2.16068,1.48044,0.000856325,0.000856325,0.000856325
18,30.249,2.10612,1.58748,1.26136,0.2248,0.28828,0.22445,0.09318,2.24242,3.87685,1.4406,0.000900753,0.000900753,0.000900753
19,31.7161,1.9407,1.55061,1.19596,0.23481,0.52797,0.31206,0.11294,2.29404,2.16788,1.44497,0.000944426,0.000944426,0.000944426
20,33.2374,2.08095,1.70291,1.28259,0.27789,0.50108,0.32713,0.12539,2.29262,2.02191,1.41795,0.000987345,0.000987345,0.000987345
21,34.7453,2.06131,1.59889,1.29879,0.3784,0.29151,0.28854,0.10093,2.39076,2.27943,1.52789,0.00102951,0.00102951,0.00102951
22,36.2304,2.00833,1.57949,1.25622,0.31762,0.40175,0.32925,0.11648,2.27227,2.02119,1.44833,0.00107092,0.00107092,0.00107092
23,37.679,2.02924,1.5482,1.23731,0.32535,0.49345,0.35191,0.12861,2.17437,1.84652,1.41215,0.00111157,0.00111157,0.00111157
24,39.151,1.9373,1.55367,1.23262,0.27139,0.51017,0.33427,0.12232,2.15224,1.91922,1.41912,0.00115147,0.00115147,0.00115147
25,40.6203,1.93391,1.48343,1.24093,0.23273,0.46548,0.29777,0.11596,2.21297,2.30489,1.46821,0.00119062,0.00119062,0.00119062
26,42.0678,1.9293,1.45038,1.23738,0.15193,0.46371,0.14757,0.0571,2.27983,3.41627,1.49637,0.00119322,0.00119322,0.00119322
27,43.531,2.02884,1.47611,1.23542,0.21196,0.50912,0.25713,0.10238,2.2497,2.21502,1.44993,0.00118378,0.00118378,0.00118378
28,45.0046,1.93983,1.517,1.21866,0.28193,0.52774,0.34259,0.13805,2.22316,1.87573,1.45286,0.00117435,0.00117435,0.00117435
29,46.4991,1.98716,1.37003,1.23082,0.34806,0.46842,0.36523,0.14851,2.29596,1.96367,1.48022,0.00116492,0.00116492,0.00116492
30,48.0998,1.91446,1.30657,1.14506,0.35886,0.46904,0.39127,0.14424,2.35002,1.95859,1.49967,0.00115549,0.00115549,0.00115549
31,49.6802,1.90462,1.48181,1.21759,0.43927,0.46218,0.43973,0.15716,2.28402,1.73547,1.46749,0.00114606,0.00114606,0.00114606
32,51.2351,1.96692,1.35039,1.19496,0.44781,0.44436,0.41986,0.16259,2.22646,1.72193,1.4287,0.00113663,0.00113663,0.00113663
33,52.7983,1.87693,1.25312,1.21144,0.43338,0.41065,0.36417,0.1303,2.28297,1.87892,1.46051,0.0011272,0.0011272,0.0011272
34,54.3652,1.97002,1.32885,1.21096,0.42572,0.40171,0.34875,0.129,2.27672,1.90734,1.4528,0.00111776,0.00111776,0.00111776
35,55.862,1.90156,1.40082,1.17329,0.4361,0.49797,0.42879,0.16085,2.25769,1.8127,1.4619,0.00110833,0.00110833,0.00110833
36,57.3431,1.85208,1.31115,1.23576,0.51129,0.45095,0.44017,0.18151,2.22947,1.81615,1.45652,0.0010989,0.0010989,0.0010989
37,58.8273,1.85644,1.27494,1.18916,0.52003,0.41736,0.42119,0.17502,2.26022,1.82978,1.45525,0.00108947,0.00108947,0.00108947
38,60.3126,1.85641,1.34811,1.22196,0.47419,0.42699,0.38853,0.14725,2.28969,1.9105,1.46556,0.00108004,0.00108004,0.00108004
39,61.7591,1.83573,1.23413,1.17347,0.46696,0.42133,0.39707,0.15698,2.28719,1.87336,1.44692,0.00107061,0.00107061,0.00107061
40,63.1769,1.87231,1.21232,1.1542,0.51036,0.45899,0.43385,0.16457,2.29054,1.79466,1.46532,0.00106118,0.00106118,0.00106118
41,64.6163,1.85775,1.28012,1.16257,0.48673,0.47427,0.4388,0.16935,2.22409,1.74156,1.45256,0.00105174,0.00105174,0.00105174
42,66.0399,1.78233,1.22049,1.16333,0.46686,0.48221,0.42782,0.16622,2.26642,1.88371,1.46254,0.00104231,0.00104231,0.00104231
43,67.4904,1.86367,1.29112,1.15573,0.47549,0.44953,0.41892,0.15706,2.2674,1.89491,1.4585,0.00103288,0.00103288,0.00103288
44,68.9041,1.78973,1.25994,1.20672,0.51062,0.45085,0.45588,0.16848,2.28829,1.77324,1.46968,0.00102345,0.00102345,0.00102345
45,70.3193,1.83869,1.27032,1.15989,0.47569,0.42826,0.42556,0.16381,2.32995,1.70603,1.50519,0.00101402,0.00101402,0.00101402
46,71.7643,1.86266,1.17769,1.15984,0.51975,0.40975,0.4206,0.15582,2.32069,1.77964,1.49818,0.00100459,0.00100459,0.00100459
47,73.2037,1.80247,1.25446,1.14471,0.47486,0.43009,0.39987,0.14766,2.30027,1.69398,1.45777,0.000995156,0.000995156,0.000995156
48,74.6548,1.78763,1.23598,1.15661,0.42891,0.46594,0.39188,0.14998,2.30454,1.72735,1.4441,0.000985724,0.000985724,0.000985724
49,76.0588,1.70686,1.22206,1.16298,0.47433,0.45825,0.43134,0.17065,2.28792,1.76857,1.44181,0.000976293,0.000976293,0.000976293
50,77.4932,1.8303,1.29364,1.1534,0.45469,0.44913,0.39803,0.15625,2.27461,1.72128,1.43331,0.000966861,0.000966861,0.000966861
51,78.9042,1.71284,1.20738,1.12862,0.43134,0.46079,0.40162,0.16249,2.28421,1.63919,1.4576,0.00095743,0.00095743,0.00095743
52,80.3316,1.79086,1.22962,1.18758,0.5497,0.47292,0.49654,0.20553,2.23767,1.49945,1.44796,0.000947999,0.000947999,0.000947999
53,81.8208,1.68308,1.1396,1.12881,0.56802,0.53791,0.51379,0.20058,2.19306,1.50398,1.40584,0.000938567,0.000938567,0.000938567
54,83.2497,1.72641,1.12268,1.14243,0.58271,0.54635,0.52073,0.19461,2.21188,1.52636,1.39106,0.000929136,0.000929136,0.000929136
55,84.6874,1.77056,1.10079,1.14259,0.54883,0.44816,0.47133,0.18206,2.23935,1.58671,1.40839,0.000919704,0.000919704,0.000919704
56,86.1256,1.73406,1.09819,1.1279,0.52964,0.45839,0.46026,0.17597,2.21164,1.60715,1.39815,0.000910273,0.000910273,0.000910273
57,87.587,1.73623,1.08509,1.11257,0.57772,0.5049,0.45716,0.18183,2.22463,1.62316,1.40928,0.000900842,0.000900842,0.000900842
58,89.049,1.69792,1.12732,1.13406,0.59095,0.45198,0.43182,0.17233,2.25337,1.67988,1.41235,0.00089141,0.00089141,0.00089141
59,90.5017,1.73434,1.05263,1.1332,0.51667,0.42544,0.40154,0.16052,2.28033,1.73935,1.42876,0.000881979,0.000881979,0.000881979
60,91.9558,1.62301,1.03437,1.09267,0.49764,0.4586,0.4388,0.17068,2.26732,1.77563,1.42219,0.000872547,0.000872547,0.000872547
61,93.4336,1.70422,1.06702,1.13519,0.53948,0.4932,0.46626,0.18131,2.27004,1.66592,1.43098,0.000863116,0.000863116,0.000863116
62,94.9132,1.67065,1.11737,1.16792,0.49196,0.52252,0.48249,0.18863,2.28533,1.62537,1.4379,0.000853685,0.000853685,0.000853685
63,96.4949,1.6432,1.01536,1.06714,0.54883,0.47151,0.45285,0.18275,2.30048,1.69051,1.42175,0.000844253,0.000844253,0.000844253
64,98.0748,1.67952,1.02246,1.0865,0.57539,0.49941,0.4761,0.18879,2.27692,1.67328,1.40318,0.000834822,0.000834822,0.000834822
65,99.5943,1.64985,0.99625,1.07584,0.55739,0.54598,0.47544,0.19559,2.2733,1.66831,1.41282,0.00082539,0.00082539,0.00082539
66,101.157,1.68935,1.0745,1.09955,0.49103,0.5328,0.44701,0.17135,2.31364,1.75354,1.43796,0.000815959,0.000815959,0.000815959
67,102.662,1.66346,1.00942,1.09369,0.43655,0.58108,0.45763,0.17319,2.30263,1.73581,1.44273,0.000806528,0.000806528,0.000806528
68,104.111,1.55124,1.02253,1.11532,0.58826,0.49349,0.49236,0.19499,2.28818,1.65311,1.46093,0.000797096,0.000797096,0.000797096
69,105.559,1.55993,0.97,1.07459,0.58303,0.53583,0.53067,0.21143,2.23484,1.57572,1.45551,0.000787665,0.000787665,0.000787665
70,107.099,1.59034,0.97954,1.07708,0.58994,0.52768,0.53123,0.21306,2.23908,1.56127,1.46288,0.000778233,0.000778233,0.000778233
71,108.662,1.60301,0.98162,1.0822,0.60533,0.48339,0.51677,0.20763,2.23249,1.59953,1.45687,0.000768802,0.000768802,0.000768802
72,110.096,1.55214,0.96884,1.08387,0.56921,0.48112,0.49966,0.19723,2.24582,1.61101,1.47397,0.000759371,0.000759371,0.000759371
