epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.15557,2.48229,4.75737,2.67469,0.35892,0.04167,0.04455,0.01278,2.3596,5.0984,3.05477,5e-05,5e-05,5e-05
2,6.12855,2.32715,4.53228,2.49912,0.14071,0.30625,0.1825,0.08527,2.48618,8.23073,3.13088,0.000112055,0.000112055,0.000112055
3,8.05989,2.13304,3.21775,2.32974,0.16085,0.47357,0.2221,0.10606,2.21541,7.46795,2.64385,0.000173614,0.000173614,0.000173614
4,10.1238,1.91679,2.87331,2.08915,0.20926,0.43029,0.15939,0.0912,2.40372,6.29448,2.77871,0.000234678,0.000234678,0.000234678
5,11.7919,1.90258,2.61156,1.97978,0.30381,0.32014,0.23816,0.0915,2.34804,8.04064,2.81903,0.000295248,0.000295248,0.000295248
6,13.4406,1.89502,2.62204,1.96469,0.56118,0.26111,0.29137,0.1052,2.30738,4.92409,2.71871,0.000355322,0.000355322,0.000355322
7,15.136,1.881,2.53244,1.95089,0.77026,0.23611,0.22175,0.1204,2.28915,5.76772,2.69784,0.000414902,0.000414902,0.000414902
8,16.8014,1.86463,2.45161,1.90742,0.15174,0.292,0.06666,0.03027,2.68014,5.84516,3.36494,0.000473986,0.000473986,0.000473986
9,18.4908,1.94146,2.42188,2.0016,0.13952,0.35347,0.14896,0.07827,2.30427,4.99617,2.72465,0.000532576,0.000532576,0.000532576
10,20.1437,1.90452,2.39939,1.93564,0.58002,0.15278,0.08366,0.03167,2.60769,5.15674,2.91496,0.000590671,0.000590671,0.000590671
11,21.7945,1.82164,2.25582,1.83566,0.60321,0.29444,0.22456,0.12757,2.42957,8.97116,2.96336,0.00064827,0.00064827,0.00064827
12,23.4692,1.71408,2.15761,1.82936,0.7707,0.16667,0.19364,0.07526,2.86997,6.2018,3.38469,0.000705374,0.000705374,0.000705374
13,25.0747,1.83142,2.26207,1.83211,0.31822,0.19444,0.07491,0.01607,3.38391,7.10234,4.03024,0.000761984,0.000761984,0.000761984
14,26.7045,1.9088,2.26095,1.92372,0.15025,0.32837,0.22323,0.08097,2.61885,8.73264,3.29807,0.000818098,0.000818098,0.000818098
15,28.3022,1.81511,2.06545,1.88443,0.09307,0.3,0.12074,0.05658,2.63782,5.50427,3.59919,0.000873718,0.000873718,0.000873718
16,29.9217,1.91994,2.19748,1.98799,0.313,0.33029,0.18671,0.06464,2.80162,4.95646,3.85992,0.000928842,0.000928842,0.000928842
17,31.5888,1.82414,2.0855,1.87419,0.44554,0.25278,0.17992,0.0818,3.07315,7.22051,4.10931,0.000983472,0.000983472,0.000983472
18,33.1887,1.86404,2.06515,1.94186,0.29669,0.25189,0.15975,0.04961,3.28059,8.39447,4.99251,0.00103761,0.00103761,0.00103761
19,34.7746,1.8572,2.13533,2.00608,0.40295,0.11944,0.06834,0.01847,3.1992,12.3435,5.27631,0.00109125,0.00109125,0.00109125
20,36.5043,1.85031,2.18852,1.90675,0.13258,0.07292,0.04588,0.01184,3.32551,28.7672,4.38824,0.00114439,0.00114439,0.00114439
21,38.1971,1.80107,2.01475,1.82643,0.05683,0.22847,0.06055,0.01093,3.3057,12.0776,4.19756,0.001151,0.001151,0.001151
22,39.8174,1.78539,2.1294,1.86256,0.55906,0.07778,0.06957,0.0077,3.3399,8.64009,4.06899,0.00114605,0.00114605,0.00114605
23,41.4549,1.82359,2.2827,1.85968,0.275,0.08333,0.01541,0.00448,3.60469,8.93747,4.50753,0.0011411,0.0011411,0.0011411
24,43.1014,1.80938,2.16143,1.86601,0.33187,0.34444,0.07888,0.02611,3.10191,7.55561,4.34216,0.00113615,0.00113615,0.00113615
25,44.7344,1.58173,2.00125,1.77084,0.36458,0.26667,0.15644,0.04826,3.03871,8.61868,4.17197,0.0011312,0.0011312,0.0011312
26,46.3656,1.71208,2.00175,1.8458,0.38476,0.27222,0.15711,0.03694,2.9624,6.70636,3.86431,0.00112625,0.00112625,0.00112625
27,47.9984,1.802,1.97842,1.88703,0.63231,0.25,0.11361,0.02836,2.88892,6.02253,3.91342,0.0011213,0.0011213,0.0011213
28,49.61,1.65013,1.88631,1.78391,0.54616,0.32778,0.26154,0.09135,2.55223,7.04203,3.63225,0.00111635,0.00111635,0.00111635
29,51.2709,1.75276,2.12792,1.88598,0.40024,0.45556,0.24656,0.09628,2.64989,9.08401,3.7444,0.0011114,0.0011114,0.0011114
30,52.9304,1.79439,1.99615,1.88763,0.31162,0.46221,0.31352,0.12036,2.71955,13.0599,3.99323,0.00110645,0.00110645,0.00110645
31,54.5789,1.54926,1.76883,1.71011,0.29277,0.35816,0.30798,0.10705,2.75971,10.6434,3.89481,0.0011015,0.0011015,0.0011015
32,56.2196,1.73272,1.86333,1.78436,0.30636,0.20278,0.15453,0.03029,3.03044,12.6056,3.73495,0.00109655,0.00109655,0.00109655
33,57.8779,1.67781,1.82951,1.72045,0.48505,0.11458,0.07238,0.01385,3.1504,23.05,3.67992,0.0010916,0.0010916,0.0010916
34,59.498,1.55785,1.80615,1.75576,0.82837,0.08333,0.06639,0.01736,3.22035,10.9703,3.58752,0.00108665,0.00108665,0.00108665
35,61.1057,1.64835,1.65589,1.76816,0.9148,0.125,0.13955,0.02976,3.153,5.77557,3.64933,0.0010817,0.0010817,0.0010817
36,62.7325,1.64197,1.83575,1.79012,0.42767,0.23056,0.10839,0.03381,3.11779,4.1348,3.93909,0.00107675,0.00107675,0.00107675
37,64.3212,1.65749,1.61059,1.75956,0.56742,0.34405,0.21873,0.08209,3.05841,5.08879,3.984,0.0010718,0.0010718,0.0010718
38,65.922,1.64429,1.63898,1.76658,0.36158,0.33759,0.29744,0.12345,3.0149,5.98639,3.83484,0.00106685,0.00106685,0.00106685
39,67.5581,1.64837,1.58779,1.77871,0.84317,0.16537,0.20085,0.07912,2.80612,5.35722,3.47515,0.0010619,0.0010619,0.0010619
40,69.185,1.61448,1.79351,1.77232,0.38575,0.18213,0.09233,0.03303,3.16825,6.29658,3.49798,0.00105695,0.00105695,0.00105695
41,70.8385,1.6843,1.57529,1.69068,1,0.08069,0.15254,0.07252,3.05036,5.27847,3.39711,0.001052,0.001052,0.001052
42,72.4679,1.65048,1.69956,1.78232,0.77555,0.26667,0.29703,0.10544,2.85821,4.29227,3.22497,0.00104705,0.00104705,0.00104705
43,74.0459,1.66746,1.72782,1.7711,0.27491,0.3003,0.2668,0.09696,2.72859,4.49034,3.07808,0.0010421,0.0010421,0.0010421
44,75.6528,1.5915,1.6028,1.69842,0.9363,0.24957,0.31302,0.08622,2.5559,4.49198,2.94545,0.00103715,0.00103715,0.00103715
45,77.235,1.60843,1.60165,1.69546,0.81881,0.225,0.29309,0.07013,2.61758,4.24143,3.06792,0.0010322,0.0010322,0.0010322
46,78.8821,1.56952,1.46944,1.6304,0.2658,0.28403,0.23843,0.05812,2.71702,3.68568,3.10009,0.00102725,0.00102725,0.00102725
47,80.4976,1.53364,1.51059,1.71102,0.28247,0.36181,0.22512,0.04956,2.64119,4.61234,3.20182,0.0010223,0.0010223,0.0010223
48,82.1425,1.51064,1.49587,1.69779,0.50365,0.22936,0.19694,0.05395,2.78303,4.90031,3.33286,0.00101735,0.00101735,0.00101735
49,83.9157,1.42953,1.50987,1.59209,0.2798,0.25278,0.24198,0.09283,2.71315,3.45547,3.29665,0.0010124,0.0010124,0.0010124
50,85.6098,1.48618,1.39505,1.56499,0.55567,0.32222,0.30936,0.10116,2.74732,2.95722,3.3015,0.00100745,0.00100745,0.00100745
51,87.2811,1.53564,1.45952,1.60892,0.41057,0.36217,0.3207,0.1096,2.75498,3.06504,3.29561,0.0010025,0.0010025,0.0010025
52,89.0939,1.4456,1.44353,1.60476,0.31257,0.35987,0.26187,0.10688,2.7207,3.54758,3.21915,0.00099755,0.00099755,0.00099755
53,90.728,1.50866,1.41972,1.62115,0.3637,0.40466,0.35665,0.11524,2.68268,3.03643,3.20185,0.0009926,0.0009926,0.0009926
54,92.32,1.48844,1.43529,1.6695,0.4273,0.29005,0.28717,0.09503,2.69465,2.759,3.20216,0.00098765,0.00098765,0.00098765
55,93.9101,1.36767,1.34144,1.51616,0.40559,0.34306,0.37253,0.13432,2.6825,2.61951,3.24679,0.0009827,0.0009827,0.0009827
56,95.6495,1.46322,1.32538,1.63279,0.64369,0.30278,0.32676,0.07358,3.02183,2.66679,3.37367,0.00097775,0.00097775,0.00097775
57,97.3254,1.32686,1.14284,1.473,0.42698,0.29316,0.25063,0.0823,3.04939,2.55128,3.39388,0.0009728,0.0009728,0.0009728
58,99.0354,1.49045,1.35436,1.60734,0.32172,0.29444,0.23408,0.06925,3.07968,2.74039,3.39061,0.00096785,0.00096785,0.00096785
59,100.814,1.40032,1.38548,1.55638,0.25534,0.26667,0.21941,0.06439,3.13724,2.93905,3.39454,0.0009629,0.0009629,0.0009629
60,102.599,1.41866,1.33091,1.52286,0.23193,0.29147,0.15828,0.04719,3.16902,3.01092,3.45436,0.00095795,0.00095795,0.00095795
61,104.41,1.32025,1.17549,1.45527,0.23142,0.33403,0.2588,0.05743,3.08664,3.06527,3.54333,0.000953,0.000953,0.000953
62,106.138,1.31854,1.20424,1.5383,0.23101,0.33552,0.2294,0.05864,2.98804,3.31297,3.37647,0.00094805,0.00094805,0.00094805
63,107.931,1.31749,1.13168,1.44387,0.17689,0.19197,0.14995,0.05133,2.81055,3.49924,3.16281,0.0009431,0.0009431,0.0009431
64,109.677,1.35518,1.22722,1.57555,0.29501,0.35347,0.22311,0.07141,2.59685,3.23712,3.29388,0.00093815,0.00093815,0.00093815
