epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.446,1.93338,4.76097,1.84826,0.69219,0.23214,0.13853,0.08383,1.69995,4.96267,1.80451,0.00011669,0.00011669,0.00011669
2,6.12079,1.97833,3.41247,1.8111,0.04574,0.37271,0.02461,0.01032,1.90137,12.9306,1.95828,0.0002484,0.0002484,0.0002484
3,8.47912,1.97648,2.82308,1.76152,0.78181,0.21429,0.19039,0.13392,1.90639,3.93658,1.92683,0.000378349,0.000378349,0.000378349
4,10.8341,1.96626,2.69779,1.75388,0.83071,0.30357,0.30246,0.20967,1.87469,5.0538,1.99129,0.000506538,0.000506538,0.000506538
5,13.2598,2.06493,2.36449,1.76944,0.86767,0.30357,0.29475,0.15121,2.13937,4.86579,2.26512,0.000632967,0.000632967,0.000632967
6,15.6134,2.03322,2.36253,1.79052,0.73594,0.25,0.23714,0.12319,2.11705,7.19578,2.09837,0.000757635,0.000757635,0.000757635
7,17.9332,2.0845,2.47535,1.85934,0.12057,0.125,0.09737,0.06084,1.97812,8.13594,1.89851,0.000880543,0.000880543,0.000880543
8,20.259,2.13886,2.56869,1.94472,0.63243,0.25,0.15852,0.04445,2.81425,5.86616,2.91938,0.00100169,0.00100169,0.00100169
9,22.5525,2.15298,2.4261,1.90615,0.66009,0.17857,0.11675,0.03537,2.56662,5.74206,2.67959,0.00112108,0.00112108,0.00112108
10,24.8885,2.12248,2.49765,1.90101,0.12509,0.17125,0.06004,0.01742,2.64757,5.11716,2.63309,0.0012387,0.0012387,0.0012387
11,27.2184,2.23262,2.36798,1.92756,0.75264,0.26786,0.28404,0.12938,1.86352,4.83986,1.9182,0.00135457,0.00135457,0.00135457
12,29.49,2.07619,2.22222,1.86422,0.32249,0.30724,0.25781,0.11525,2.18719,5.70817,2.19541,0.00146868,0.00146868,0.00146868
13,31.7536,2.17739,2.36728,1.90702,0.16962,0.33425,0.13912,0.04889,2.37704,12.3103,2.56911,0.00153497,0.00153497,0.00153497
14,34.0253,2.15473,2.26084,1.95216,0.81818,0.125,0.19987,0.09994,2.15284,14.0717,2.3441,0.00152397,0.00152397,0.00152397
